# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 119K of event 'cycles:u'
# Event count (approx.): 109176193282
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
     0.01%  main     [.] std::__fill_n_a<LLcol*, unsigned long, LLcol>
     0.01%  main     [.] std::_Destroy<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.01%  main     [.] __gnu_cxx::new_allocator<LLord>::new_allocator
     0.01%  main     [.] std::_Destroy<int*>
     0.01%  main     [.] std::move<LLcol&>
     0.01%  main     [.] std::__niter_base<int*>
     0.01%  main     [.] std::_Destroy<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol>
     0.01%  main     [.] __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++
     0.01%  main     [.] std::_Vector_base<int, std::allocator<int> >::_M_deallocate
     0.01%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_M_get_Tp_allocator
     0.01%  main     [.] std::__niter_base<LLcol*>
     0.01%  main     [.] std::allocator_traits<std::allocator<int> >::_S_construct<int, int const&>
     0.01%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator--
     0.01%  main     [.] std::_Destroy<LLcol*, LLcol>
     0.01%  main     [.] std::advance<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, int>
     0.01%  main     [.] std::move_backward<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.01%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_M_deallocate
     0.01%  main     [.] __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator
     0.01%  main     [.] std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl
     0.01%  main     [.] std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>
     0.01%  main     [.] std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction
     0.01%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_Vector_base
     0.01%  main     [.] std::vector<double, std::allocator<double> >::push_back
     0.01%  main     [.] std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>
     0.01%  main     [.] std::allocator_traits<std::allocator<int> >::_S_select<std::allocator<int> const>
     0.01%  main     [.] std::__copy_move_a<false, int const*, int*>
     0.01%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base
     0.01%  main     [.] std::__copy_move_backward_a<true, LLcol*, LLcol*>
     0.01%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::end
